payers_tin,recipients_tin,payers_name,payers_add,payers_city,payers_state,payers_cont,payers_zip,payers_phn_no,recipient_name,rec_street,rec_cit,rec_stat,rec_cont,rec_zip,rec_acc,one_a,one_b,two_a,caledar_year,two_b,two_c,two_d,two_e,two_f,three,four,five,six,seven,eight,nine,ten,twle,trten,forten,fiften,sixten,company_name,coid
984 83-7917,954 78-5318,Brandon Sylvester,"4349 Michael Rue
East Brianna, SD 98635",Bolingbrook,Texas,Turkey,21777,(941)752-2954,Johnathan Evans,087 David Terrace Apt. 117,Pasadena,Alabama,El Salvador,68836,LUOL74582946661113,35420.76,20982.01,49222.18,2000,60913.24,46726.96,66192.29,6755.97,32037.49,78435.77,77192.58,14601.38,71593.3,23962.72,US,31561.52,29524.51,81128.89,1559.3,MT,013-83-9427,29549.18,Microsoft,MSFT
954 81-1939,960 70 2443,Chris Toussaint,"USS Davis
FPO AP 57151",High Point,Maryland,"Korea, North",59891,775-723-3375,Lawanda Jones,575 Perkins Plaza,Edmond,North Carolina,Mexico,47123,BMIY96312031096046,77088.54,39231.97,7225.4,2004,93790.05,64385.27,58399.59,24925.31,27270.56,1589.29,56473.96,84983.1,5698.97,85978.46,US,65667.82,95959.99,29711.84,78499.61,NC,781-51-7596,13938.16,Apple,AAPL
901-75-2502,924-88-3134,Willie Gotti,"PSC 2243, Box 7135
APO AA 11547",Baltimore,Pennsylvania,Uganda,52896,745.660.9684,Nguyen Huy Bing,5998 Case Meadow Suite 753,Frisco,New Mexico,Norway,15801,GJQH42211925669100,86186.62,1240.52,98824.11,1994,81806.84,66897.63,50527.75,22702.66,33855.43,44471.05,43750.31,93754.47,22065.08,78684.43,US,19308.52,14089.31,66365.26,95240.33,VI,662-34-9857,60851.2,NVIDIA,NVDA
948-87 9636,956-77 4418,Cristobal Corona,"05491 Dakota Shoal
Kimport, OH 89799",Virginia Beach,Oklahoma,Cabo Verde,27438,391-675-0100,Jeff Mcdonald,15811 Miller Extensions,Bolingbrook,Virginia,Peru,23316,BZTS97228487212829,5354.07,60981.64,1264.59,2018,50597.75,46336.63,20036.97,90919.73,55390.37,61186.11,2460.99,6125,79478.48,14421.68,US,80136.62,19086.33,77630.37,33210.47,RI,256-76-2982,61500.24,Amazon,AMZN
984-81 5966,987-88-7632,Wilmer Diaz,"USCGC Vaughan
FPO AE 26905",Lafayette,Arkansas,Australia,94817,+1-469-619-1561,Terrence Joseph,19924 Benjamin Crest Suite 379,Davie,South Dakota,Chad,14194,GAKN07037584643693,79235.34,40862.61,69815.24,1994,10156.01,59407.72,50025.45,6231.52,53250.09,75209.06,87842.96,88586.2,72421.14,34257.86,US,38003.34,71074.16,78132.65,57866.05,MO,861-57-5869,16254.05,Alphabet (Google),GOOG
924 71-0875,972-84 5463,Angela Renee,"176 Nelson Inlet
West Michaelhaven, CA 97562",Hesperia,New York,Nepal,23780,(812)993-5668,Ryen Williams,607 Hernandez Ford Apt. 561,Frisco,Nebraska,Panama,42738,WWFQ76884428634613,6760.84,98674.81,79829.26,1992,69376.97,81034.79,9943,4503.67,25807.41,70204.81,59940.59,98980.68,12962.02,35240.41,US,14792.65,93975.02,71778.2,89318.17,MS,055-12-6978,44733.19,Meta Platforms (Facebook),META
909 80-5051,980-81 3421,Duke Duke,"288 Wagner Route Suite 045
Amberfurt, WA 49968",Athens,Nebraska,United States,53729,411-933-4171,Mel Didier,56898 Hall Turnpike,Seattle,Louisiana,Moldova,48727,OIVR39818741064214,30509.22,31232.12,30265.86,1992,83949.04,21768.37,61970.64,98117.51,75767.81,9175.91,48043.75,73807.76,46164.73,97374.73,US,21766.09,52863.48,15641.1,10504.29,GU,100-33-9674,9257.64,Berkshire Hathaway,BRK-B
978-78 0236,922-84-2529,Gonzales Gricelda,"7184 Larry Roads Apt. 745
Port Kristenport, MH 89500",Chula Vista,Alabama,Argentina,58824,5705581742,Carla Manley,842 Robert Green,Glendale,Nebraska,Guinea,51265,QXNZ11621210943819,37977.21,86461.33,54861.32,2022,35159.6,38643.11,42419.7,64525.2,29961.38,50143.96,87318.3,59069.99,6949.98,91041.06,US,48884.69,67106.63,93343.9,11558.14,OR,814-54-2916,30448.52,Eli Lilly,LLY
908 87 4645,991 77 2472,Jaren Celestine,"09108 Floyd Mill
East Tyler, NJ 37492",Westminster,Arizona,Palestine,11399,+1-478-634-1866,Jalicia Arbuthnot,7015 Coleman Circles,Southfield,Connecticut,Tunisia,57066,NPFW01727124062575,90212.88,65842.19,43686.31,2000,62237.88,23463.73,44080.93,33061.93,25308.32,24851.19,66064.57,50548.9,25456.73,94183.89,US,85068.31,11025.16,99292.27,85133.86,PW,450-94-3354,16344.39,Visa,V
919-79 1709,929-71-0498,Nathaniel Smith,"15787 Garcia Trail
Port Hollyburgh, OH 36501",Everett,Nebraska,Saudi Arabia,84646,(297)739-4872,Becki Hayman,718 Pruitt Lane,Apple Valley,Kentucky,Cameroon,33496,HTOT12945047156466,89714.13,94486.39,69884.1,2004,28586.51,96088.43,46474.59,51166.69,88167.13,53229.96,78433.71,82112.65,10300.75,4088.96,US,30894.16,42583.5,84639.83,13980.49,SC,627-52-8535,22532.96,Broadcom,AVGO
